P4,O2,P8,T8,C4,Cz,Fz,F4,Fp2,F8,Fp1,F7,F3,C3,T7,P7,P3,O1,Pz
-38.88233769,-51.54500692,-43.61384388,-25.24412492,-18.67214027,-5.935523646,4.362939998,-3.381586048,2.595778064,8.317851151,7.401249355,-4.487430675,4.484290408,-6.173844798,-9.200999575,-19.29233325,-31.05106957,-22.2027881,-0.487363157
-30.92659058,-44.56444113,-36.22111052,-20.40181269,-15.07336496,-3.183092965,-0.745473777,-7.748806955,6.119430038,22.24408462,9.069787162,-9.905301356,2.120361929,-1.905865733,-2.90767886,-12.37348403,-22.35848796,-14.18562651,7.278963769
-21.77197051,-35.85935136,-28.84180012,-14.18824868,-10.87435073,-0.765306062,-6.906096454,-11.451378,7.163445174,28.8847627,9.128738334,-12.04642612,-0.033199428,1.390035518,2.88980983,-5.675813002,-13.97543306,-6.397161417,16.39091932
-13.96595161,-28.48694568,-23.35681403,-9.100247754,-7.038925887,0.976888897,-11.27952508,-13.57517721,3.013642134,23.19269205,6.023294084,-9.359292635,-1.981416328,3.317780412,6.198873096,-0.340636837,-7.491969524,-1.04515891,24.31464022
-8.435048741,-24.17551395,-19.9144442,-7.017605908,-4.149998981,2.145790134,-13.15350028,-14.1438951,-6.169835308,6.44763938,-0.319313029,-3.194128277,-4.018837872,4.145615677,6.772481564,3.136040466,-3.151764378,1.091123669,29.81608498
-4.765596865,-22.79336326,-17.53615773,-8.138938059,-2.394857218,2.916169497,-14.06033546,-13.77571523,-17.02644451,-13.94716109,-8.247769502,2.67276862,-6.363995755,4.167582599,5.604693598,4.451281216,-0.630342577,0.575034635,32.97324883
-2.082975565,-22.820279,-15.16552595,-10.91502174,-1.607219151,3.203192644,-15.83165279,-12.9996168,-25.0529042,-28.99315366,-15.30955941,4.295686788,-8.878502647,3.269347275,3.673685749,3.278748978,0.21147879,-1.348131431,34.6057081
0.266725796,-22.39557215,-12.34852913,-13.01304747,-1.332153365,2.676160877,-18.53739885,-11.81906713,-27.50281405,-33.66829118,-19.63925407,0.191369974,-11.0458489,1.082958767,1.134809186,-0.384991699,-0.687289156,-3.405258685,35.69832417
2.718690317,-20.15350313,-9.125055479,-12.61859071,-0.936486103,1.118066837,-20.24475221,-9.846135849,-24.87996159,-29.35290913,-20.75251471,-7.491405552,-12.1912176,-2.415337306,-2.308922852,-5.609768255,-2.895563154,-4.488145515,37.25614039
5.945026269,-15.38144915,-5.413895399,-9.230950765,0.193295124,-1.182633874,-18.75460954,-6.832145996,-19.94417493,-21.46192834,-19.21864886,-14.18116304,-11.7779096,-6.410749213,-6.270991589,-10.35308989,-4.852890083,-3.457449143,40.48766493
11.05735556,-7.735426181,-0.615706561,-3.593033901,2.3761839,-3.377585361,-13.65386598,-3.118171432,-15.22338302,-14.54234822,-15.67608685,-15.73197972,-9.619453015,-9.359637785,-9.000621139,-12.18041529,-4.123082125,0.927051548,46.78604748
19.06398677,2.856424789,6.037442078,2.941713882,5.393631033,-4.455472541,-6.822924307,0.357358644,-11.22920687,-9.057848218,-10.23013082,-11.00416058,-5.959636027,-9.74971352,-8.096420051,-9.626441475,1.318974104,9.51887766,57.10620558
29.83404083,15.77443891,14.54999058,9.013865551,8.448131059,-3.840726393,-1.041294231,2.472887361,-6.857858891,-2.426895837,-2.882405715,-2.473535078,-1.464384351,-7.045197949,-2.344018661,-3.3043981,11.54696358,21.89321867,70.96411405
41.43415209,29.15591472,23.4295119,13.48894386,10.43507902,-1.767204359,1.946773972,2.436291594,-1.445229499,6.947597166,5.407061965,5.427762147,2.8486724,-2.168080304,6.730320943,4.113117637,24.05108726,35.77415034,85.8564536
50.59166174,39.98833426,29.92719259,15.43359693,10.4589661,0.845801475,2.206172209,0.08129204,3.589417768,16.57934423,12.18762936,8.997247025,5.799360609,2.853089587,15.04016763,9.193579651,34.65263405,47.49127319,97.83167857
54.21623229,45.22434115,31.33808973,14.17548401,8.328285037,2.924461063,0.782031993,-4.122302673,5.2514393,20.81247719,14.39406431,7.181823454,6.421145813,5.894333897,18.09115322,9.567024198,39.52912398,53.48594074,103.1711781
51.03004318,43.37560292,26.58641769,9.58800457,4.707828594,3.801583769,-1.618188024,-9.206674359,1.430112025,15.21761399,10.31297624,1.677459878,4.455883478,5.810768667,13.77863847,5.117750544,37.10037994,52.03157973,100.2333664
42.16857716,35.4295049,16.98455544,2.375808833,0.777992931,3.440649335,-4.981691564,-13.87019524,-6.758848012,0.728273663,1.203381975,-4.501622098,0.698675763,2.949397412,3.854592164,-2.181363285,28.60055311,44.03200519,90.23818016
30.32694558,24.26650516,5.559532439,-5.995526445,-2.430274489,2.235910783,-9.096063231,-16.70990062,-14.93708303,-16.18767199,-8.878909377,-8.796484522,-3.136820252,-1.161540084,-7.059425994,-9.590249268,17.06934352,32.32822838,76.42671016
18.09929411,12.86684352,-4.653187492,-13.82764896,-4.605230998,0.618303175,-12.56328686,-16.63550571,-18.11192943,-27.72632027,-15.26181494,-10.13527873,-5.146396333,-4.71088349,-14.28486446,-15.14189205,5.549533142,19.98480598,62.1647503
6.733363051,2.586273208,-12.1972957,-19.87216264,-6.230663283,-1.198935913,-13.12521928,-13.41455981,-14.13690463,-30.00437882,-15.48080789,-8.940724448,-4.262773858,-6.5412571,-15.78760876,-18.43656804,-4.293815666,8.738638761,49.29641379
-3.863365099,-7.215728583,-17.59985432,-23.7014032,-8.089226776,-3.170217448,-9.423690749,-8.031510596,-5.328832033,-25.15897357,-10.76522288,-6.550994804,-0.979560921,-6.613860682,-12.97193986,-20.35414652,-12.37213668,-1.381719777,37.81313415
-14.05364855,-17.95831569,-22.39840372,-25.54658511,-10.52498659,-5.178017428,-2.719986535,-2.474597104,3.042226052,-18.76681513,-5.102377454,-4.601844047,2.759812078,-5.815980171,-9.223198402,-22.10411742,-19.34690188,-11.17209708,26.87851164
-23.34910583,-30.05590173,-27.5947297,-25.81802975,-13.00058067,-6.870017435,3.215667197,1.133723854,6.265960385,-14.9980136,-2.551091498,-4.547014875,4.559840804,-5.310134608,-7.4639917,-24.35999234,-25.59201416,-20.93380275,16.25452778
